_computeFunctionValue	6	TK_FUNID		function	Yes	----
----	-1	----		otherFunctions	No	function
input	6	TK_INPUT		input_par	Yes	----
----	-1	----		function	No	input_par
parameter	6	TK_PARAMETER		input_par	Yes	----
list	6	TK_LIST		input_par	Yes	----
[	6	TK_SQL		input_par	Yes	----
int	6	TK_INT	0.00
	primitiveDatatype	Yes	----
----	-1	----		dataType	No	primitiveDatatype
----	-1	----		parameter_list	No	dataType
----	-1	----		input_par	No	parameter_list
c3	6	TK_ID		parameter_list	Yes	----
,	6	TK_COMMA		remaining_list	Yes	----
----	-1	----		parameter_list	No	remaining_list
int	6	TK_INT	0.00
	primitiveDatatype	Yes	----
----	-1	----		dataType	No	primitiveDatatype
----	-1	----		parameter_list	No	dataType
----	-1	----		remaining_list	No	parameter_list
c4	6	TK_ID		parameter_list	Yes	----
,	6	TK_COMMA		remaining_list	Yes	----
----	-1	----		parameter_list	No	remaining_list
int	6	TK_INT	0.00
	primitiveDatatype	Yes	----
----	-1	----		dataType	No	primitiveDatatype
----	-1	----		parameter_list	No	dataType
----	-1	----		remaining_list	No	parameter_list
c5	6	TK_ID		parameter_list	Yes	----
]	6	TK_EPSILON		remaining_list	Yes	----
----	-1	----		parameter_list	No	remaining_list
]	6	TK_SQR		input_par	Yes	----
output	7	TK_OUTPUT		output_par	Yes	----
----	-1	----		function	No	output_par
parameter	7	TK_PARAMETER		output_par	Yes	----
[	7	TK_LIST		output_par	Yes	----
real	7	TK_REAL	0.00
	primitiveDatatype	Yes	----
----	-1	----		dataType	No	primitiveDatatype
----	-1	----		TK_SQL	No	dataType
----	7	----		output_par	No	TK_SQL
c6	7	TK_ID		TK_SQL	Yes	----
]	7	TK_EPSILON		remaining_list	Yes	----
----	-1	----		TK_SQL	No	remaining_list
----	-1	parameter_list		output_par	Yes	----
;	7	TK_SQR		output_par	Yes	----
type	8	TK_EPSILON		typeDefinitions	Yes	----
----	-1	----		TK_SEM	No	typeDefinitions
----	8	----		function	No	TK_SEM
type	8	TK_TYPE		declaration	Yes	----
----	-1	----		declarations	No	declaration
real	8	TK_REAL	0.00
	primitiveDatatype	Yes	----
----	-1	----		dataType	No	primitiveDatatype
----	-1	----		declaration	No	dataType
:	8	TK_COLON		declaration	Yes	----
d4cbcccccccccccccbbbbbbbbdddd5222222222222633333333333377	8	TK_ID		declaration	Yes	----
type	9	TK_TYPE		declaration	Yes	----
----	-1	----		global_or_not	No	declaration
real	9	TK_REAL	0.00
	primitiveDatatype	Yes	----
----	-1	----		dataType	No	primitiveDatatype
----	-1	----		declaration	No	dataType
:	9	TK_COLON		declaration	Yes	----
c4bbb	9	TK_ID		declaration	Yes	----
;	9	TK_EPSILON		global_or_not	Yes	----
----	-1	----		declaration	No	global_or_not
;	9	TK_SEM		declaration	Yes	----
----	-1	----		declaration	No	global_or_not
c6	10	TK_EPSILON		declarations	Yes	----
----	-1	----		global_or_not	No	declarations
c6	10	TK_ID		singleOrRecId	Yes	----
----	-1	----		assignmentStmt	No	singleOrRecId
<---	10	TK_EPSILON		option_single_constructed	Yes	----
----	-1	----		singleOrRecId	No	option_single_constructed
----	-1	----		stmt	No	assignmentStmt
<---	10	TK_ASSIGNOP		assignmentStmt	Yes	----
d4cbcd5677	11	TK_ID		singleOrRecId	Yes	----
----	-1	----		var	No	singleOrRecId
<---	11	TK_EPSILON		option_single_constructed	Yes	----
----	-1	----		singleOrRecId	No	option_single_constructed
----	-1	----		factor	No	var
----	-1	----		term	No	factor
----	-1	----		arithmeticExpression	No	term
----	-1	termPrime		term	Yes	----
----	-1	----		assignmentStmt	No	arithmeticExpression
+	11	TK_EPSILON		expPrime	Yes	----
----	-1	----		arithmeticExpression	No	expPrime
+	11	TK_PLUS		lowPrecedenceOperators	Yes	----
